Week,Comparison,estimate,conf.low,conf.high,p.adj,Significance
2,P301S_Vehicle vs WT,64.608,53.901,75.314,0,***
4,P301S_ASO vs P301S_Vehicle,-24.366,-34.615,-14.117,0,***
